reach_id;FromN;ToN;Slope;Wac;Q;n;D16;D50;D84;Length;x_FN;y_FN;x_TN;y_TN;el_FN;el_TN;deposit
1;1;2;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1802.375901;729475;5968735;729515;5967495;645.7513354;620.0296289;0
2;2;3;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1810.954544;729515;5967485;730365;5966685;620.0296289;594.1854966;0
3;3;4;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1807.817459;730375;5966675;730505;5965825;594.1854966;568.3861336;0
4;4;5;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1805.09668;730475;5965835;730255;5964685;568.3861336;542.6255989;0
5;5;6;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1814.091629;730245;5964685;730775;5964235;542.6255989;516.7366973;0
6;6;7;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1823.675324;730775;5964225;731125;5963045;516.7366973;490.7110267;0
7;7;8;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1799.238816;731105;5963025;730905;5961885;490.7110267;465.0340896;0
8;8;9;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1805.807358;730895;5961875;731275;5960965;465.0340896;439.2634128;0
9;9;10;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1812.375901;731285;5960955;732055;5961245;439.2634128;413.3989963;0
10;10;11;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1807.106781;732075;5961215;732965;5961385;413.3989963;387.6097754;0
11;11;12;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1806.518036;732975;5961375;733745;5962095;387.6097754;361.8289565;0
12;12;13;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1811.665222;733755;5962085;734855;5961845;361.8289565;335.9746821;0
13;13;14;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1806.812409;734855;5961875;735355;5962205;335.9746821;310.1896622;0
14;14;15;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1824.802307;735345;5962205;735815;5962015;310.1896622;284.1479085;0
15;15;16;0.014271;32.51447031;112.4069746;0.1;0.00141;0.002;0.004;1816.812409;735805;5962005;735915;5960685;284.1479085;258.2201786;0
16;16;17;0.003;46.80249155;184.2903984;0.1;0.00141;0.002;0.004;1773.380951;735925;5960665;737035;5960005;258.2201786;252.9000358;0
17;17;18;0.003;46.80249155;184.2903984;0.1;0.00141;0.002;0.004;1785.807358;737035;5959995;737985;5960405;252.9000358;247.5426137;0
18;18;19;0.003;46.80249155;184.2903984;0.1;0.00141;0.002;0.004;1784.386002;737975;5960415;738235;5960695;247.5426137;242.1894557;0
19;19;20;0.003;46.80249155;184.2903984;0.1;0.00141;0.002;0.004;1782.375901;738255;5960675;739135;5960865;242.1894557;236.842328;0
20;20;21;0.003;46.80249155;184.2903984;0.1;0.00141;0.002;0.004;1778.528137;739145;5960865;740395;5960835;236.842328;231.5067436;0
21;21;22;0.003;46.80249155;184.2903984;0.1;0.00141;0.002;0.004;1779.949494;740395;5960845;741565;5961095;231.5067436;226.1668951;0
